1 ☺       66 B       130 é     193 ┴
2 ☻       67 C       131 â     195 ├
3 ♥       68 D       194 ┬     196 ─
4 ♦       69 E       132 ä     197 ┼
5 ♣       70 F       133 à     198 ╞
6 ♠       71 G       134 å     199 ╟
7 •       72 H       135 ç     200 ╚
8 ◘       73 I       136 ê     201 ╔
9 ○       74 J       137 ë     202 ╩
10 ◙      75 K       138 è     203 ╦
11 ♂      76 L       139 ï     204 ╠
12 ♀      77 M       140 î     205 ═
13 ♪      78 N       141 ì     206 ╬
14 ♫      79 O       142 Ä     207 ╧
15 ☼      80 P       143 Å     208 ╨
16 ►      81 Q       144 É     209 ╤
17 ◄      82 R       145 æ     210 ╥
18 ↕      83 S       146 Æ     211 ╙
19 ‼      84 T       147 ô     212 ╘
20 ¶      85 U       148 ö     213 ╒
21 §      86 V       149 ò     214 ╓
22 ▬      87 W       150 û     215 ╫
23 ↨      88 X       151 ù     216 ╪
24 ↑      89 Y       152 ÿ     217 ┘
25 ↓      90 Z       153 Ö     218 ┌
26 →      91 [       154 Ü     219 █
27 ←      92 \       155 ¢     220 ▄
28 ∟      93 ]       156 £     221 ▌
29 ↔      94 ^       157 ¥     222 ▐
30 ▲      95 _       158 ₧     223 ▀
31 ▼      96 `       159 ƒ     224 α
33 !      97 a       160 á     225 ß
34 “      98 b       161 í     226 Γ
35 #      99 c       162 ó     227 π
36 $      100 d      163 ú     228 Σ
37        101 e      164 ñ     229 σ
38 x%x    102 f      165 Ñ     230 µ
39 ‘      103 g      166 ª     231 τ
40 (      104 h      167 º     232 Φ
41 )      105 i      168 ¿     233 Θ
42 *      106 j      169 ⌐     234 Ω
43 +      107 k      170 ¬     235 δ
44 ,      108 l      171 ½     236 ∞
45 -      109 m      172 ¼     237 φ
46 .      110 n      173 ¡     238 ε
47 /      111 o      174 «     239 ∩
48 0      112 p      175 »     240 ≡
49 1      113 q      176 ░     241 ±
50 2      114 r      177 ▒     242 ≥
51 3      115 s      178 ▓     243 ≤
52 4      116 t      179 │     244 ⌠
53 5      117 u      180 ┤     245 ⌡
54 6      118 v      181 ╡     246 ÷
55 7      119 w      182 ╢     247 ≈
56 8      120 x      183 ╖     248 °
57 9      121 y      184 ╕     249 ∙
58 :      122 z      185 ╣     250 ·
59 ;      123 {      186 ║     251 √
60 <      124 |      187 ╗     252 ⁿ
61 =      125 }      188 ╝     253 ²
62 >      126 ~      189 ╜     254 ■
63 ?      127 ⌂      190 ╛     
64 @      128 Ç      191 ┐     
65 A      129 ü      192 └     
